SMILES,Score
CSCCOC(=O)[C@@H](C)Oc1cccc(Cl)c1,-5.5
Cc1cc(C(C)(C)C)ccc1OC[C@@H](O)CN1CCOCC1,-7.1
CCCSCC(=O)[C@@H]1CCOC2(CCC2)C1,-4.8
Cc1nc(C)c([C@@H](C)[NH2+][C@H]2CC(C)(C)OC2(C)C)s1,-6.7
CCOC(=O)[C@]1(NC2CC2)CC[C@H]([NH+]2CCC[C@@H]2C)C1,-5.6
COC[C@H]1CCCN(C(=O)N[C@@H]2CCN(c3cccc(Cl)c3)C2=O)C1,-7.1
CC(C)CC[C@@H](C)NC(=O)[C@H]1COc2ccccc2O1,-6.3
CC(C)(C)OC(=O)[C@@H](C(=O)[O-])[C@@H]([NH3+])Cc1cccc(F)c1,-5.7
COc1ccc(-c2noc(C3([NH3+])CCCCC3)n2)cc1,-7.2
Cc1nc(NCCS(N)(=O)=O)c2c(CC(C)C)csc2n1,-6.0
CNC(=O)CN(C)C(=O)CSc1cccc(OC)c1,-5.2
CCOC(=O)c1ccccc1NC(=O)Cn1c(=O)c(N2CCCCC2)c(N)n(C)c1=O,-7.1
CSc1ncnc2c1sc1nc(C(C)C)c3c(c12)CCC3,-6.2
CCS[C@H]1CCCC[C@H]1NC(=O)[C@@H]1CCCO1,-5.1
COCC[C@H](OC)n1nnc2ccccc21,-5.9
CCO[C@]1(C)OC(N)=C(C#N)C1=C(C#N)C#N,-5.0
C[NH+](CCO)C(c1ccccc1)(c1ccccc1)c1ccccc1,-6.0
Cc1ccccc1CC(=O)NCCCn1ccnc1,-6.4
CC(C)(C)CNC(=O)NCCc1csc(N2CCCC2)n1,-6.4
CN(CC1CCCC1)C(=O)Nc1ccc(F)c(C(N)=O)c1,-7.5
CCCc1ccc([C@]2(C)NC(=O)N(C[C@@H]3CC3(Cl)Cl)C2=O)cc1,-6.2
COCCN(CCC#N)Cc1cc(=O)n2cc(Cl)ccc2n1,-6.0
CCOCCNC(=O)N1CCN(Cc2csc(C)n2)CC1,-5.3
O=C(NCCn1cnc(-c2ccccc2)cc1=O)c1cccc2ccccc12,-8.0
Cc1ccc(Sc2nsc(NC(=O)c3ccon3)n2)cc1,-7.4
CC[C@@H](CNC(=O)[C@H]1CCCO1)Oc1ccccc1C(F)(F)F,-6.4
C[C@@]1(C2CC2)CN(CC2CC2)c2ccccc2C[NH2+]1,-5.9
Cc1ccc(C[NH2+][C@H]2CCCS[C@@H]2C)cn1,-6.3
COc1ccc(NC(=S)NC(=O)c2ccc(C)cc2C)cc1Cl,-6.7
CC[C@@H](C)C(=O)Nc1nnc(CS(=O)(=O)c2ccccc2)s1,-6.0
C[C@H]([NH2+][C@H](C)c1ccc(F)cn1)c1cccc(N2CCCC2)c1,-6.9
Cc1ccc(NC(=O)NC[C@H]2CCC[NH+]([C@@H]3CCCC[C@@H]3O)C2)cc1,-7.8
CCc1nnc(-c2ccc(C)s2)o1,-5.6
CC(C)N(CC/C(N)=N/O)C(=O)N1CCCCC1,-6.5
O=C1c2cc(Br)ccc2-c2c1cc(Br)cc2[N+](=O)[O-],-5.9
Cc1cccc(CNS(=O)(=O)c2ccc3c(c2)NC(=O)[C@@H](C)CS3)c1,-7.3
Cc1ccc(Cn2c(=O)c3ccccc3n3c(-c4ccc(C#N)cc4)nnc23)cc1,-7.6
CCS[C@@H]1CC[C@H]([NH+](C)CC(=O)NC(=O)NCC(C)C)C1,-5.3
COc1ccc(/C(Cl)=N/O)cc1,-5.5
CCO[C@@H]1C[C@@H]([NH+](C)Cc2ccc(OC)c(OC)c2)C12CCC2,-5.9
O=C(CCc1nc(-c2cccs2)no1)Nc1ccnn1Cc1ccc(Br)cc1,-7.5
CN(C(=O)CCc1c[nH]c2ccccc12)C1CCCCC1,-7.2
CCC[NH2+][C@H]1c2ccccc2[C@H](CC(C)C)[C@@H]1C,-5.5
Cc1occc1C(=O)/C(C#N)=C\c1cccc(C(F)(F)F)c1,-6.2
CC(C)[C@H](CO)NS(=O)(=O)c1ccc(N)cc1Br,-6.0
Nc1c(Nc2cccnc2)nc[nH+]c1N1CCc2ccccc21,-8.6
O=C(C[C@H]1COCC[NH2+]1)Nc1cncc(C(=O)[O-])c1,-6.1
O=[S@@](Cc1ccccc1F)Cc1c(Cl)cccc1Cl,-5.7
CCc1ccc(CCC(=O)N2CC[C@](O)(C(F)(F)F)C2)cc1,-6.7
C[C@H]1C[C@H](C)CN(C(=O)Nc2cccc(C(N)=O)c2)C1,-7.2
C[NH+](C)CCn1cnc2c(c1=[NH2+])[C@@H](c1ccccc1)c1ccc(O)cc1O2,-7.6
CC(C)[S@](=O)Cc1nc2cc(N)ccc2o1,-6.6
Cc1noc(C)c1C[C@@H](C)C(=O)N[C@@H](CO)Cc1c[nH]c2ccccc12,-7.0
N#Cc1cccc(-c2ccnc(C(=O)[O-])c2)c1F,-6.4
Cc1cnc2c(c1)N(S(=O)(=O)c1cnn(C)c1)CCO2,-6.9
Cc1c(F)cc(N)cc1S(=O)(=O)N(CC1CC1)C(C)C,-6.0
O=C(NC(CO)CO)NC1CC[NH+](Cc2ccccc2)CC1,-5.9
CN(C(=O)Cc1cccc(OCC#N)c1)c1ccccc1S(C)(=O)=O,-6.6
COc1ccc(OC)c(CCC(=O)NNC(=O)c2cc3c(s2)CCCCCC3)c1,-7.3
C#CCN1CCN(C(=O)NCCNS(=O)(=O)c2ccn(C)c2)CC1,-5.9
Cc1cn(C)c(CC(=O)NCC[NH+]2CCC(C)CC2)c1C(=O)[O-],-6.5
NS(=O)(=O)c1ccc2c(c1)N(Cc1nc3ccccc3s1)CCC2,-7.6
O=C(/C=C/c1ccc2c(c1)OCO2)Nc1cccc(Br)c1,-6.2
CCc1ccc(N2C(=O)CS[C@@H]2c2cc(OC)ccc2OC)cc1,-6.4
CC(C)C(=O)C[NH+]1CCC(Cc2ccccc2)CC1,-6.1
CCC[C@]12CN3C[C@](C)(C[NH+](C1)[C@@H]3c1ccc(O)c(OC)c1)C2=O,-6.4
CC(=O)Nc1cccc(NC(=O)c2cc(=O)c3ccccc3o2)c1,-7.4
C[C@@H]1CCN(C(=O)CSCc2ccccn2)[C@H](C)C1,-6.0
CNC(=O)Cc1cc([O-])nc(SCC(=O)NCc2ccccc2)n1,-6.3
Cc1nn(C)c(C)c1S(=O)(=O)N1CCCC[C@H]1CCN1CCOCC1,-6.2
COc1ccc2c(c1)OC[C@@H](C(=O)NCc1cc(C#N)ccc1F)C2,-7.1
COCCn1nc([C@H]2CCCN(C(=O)Nc3cccc(Cl)c3)C2)n(C2CC2)c1=O,-6.6
Cc1nn(Cc2cccc(Cl)c2)cc1C(=O)NCC(C)(C)c1ccncc1,-6.8
Cc1ccc([C@H](C)NC(=O)[C@H]2CC[NH2+][C@@H]2C)s1,-6.2
CC(C)=C[C@@H](O)c1c[nH]nc1-c1ccccc1,-6.6
CC(C)C[C@@H](C)[NH2+]CC(=O)N(C)C,-4.7
CC[NH+]1CCN([C@@H](C)CNC(=O)[C@H](C)NC(=O)C(C)(C)C)CC1,-5.6
[NH3+]CC[C@@H](O)c1c[nH]c2cc(Cl)ccc12,-6.3
O=C(CSc1nc2ncc(Cl)cc2[n-]1)N1CCCCCCC1,-7.1
O=C(CC(c1ccccc1)c1ccccc1)NCc1ccccc1Cl,-7.8
C[C@@]1(C(=O)NCC2(c3ccncc3)CC2)CCCS1,-7.5
Cc1cn2c(=O)c(S(=O)(=O)N3CCC4(CC3)OCCO4)c(C)nc2s1,-7.2
CC(C)NC(=O)C[C@H](Nc1ccc(Cl)cc1)C(N)=O,-6.3
Cc1ccc(CN2C[C@H](C(=O)NCC(=O)Nc3c(C)cc(C)cc3C)CC2=O)cc1,-6.2
CCCCNC(=O)NCCC[NH+]1C[C@H](C)C[C@@H](C)C1,-6.1
Cc1ccccc1CNC(=O)NC1CCC(Oc2ccc(C#N)cn2)CC1,-7.0
Nc1ccncc1C(=O)c1c(F)cccc1F,-6.2
O=C(Nc1ccc(F)cc1)C1CC[NH+](Cc2ccc3ccccc3n2)CC1,-7.9
Cc1ccccc1C(=O)NC(=S)Nc1cccc(C(=O)N2CCOCC2)c1,-7.2
Cc1ccc(NCc2c(F)cccc2F)c(C)n1,-6.8
